E_B#3 / keV	N_B#3	E_B#4 / keV	N_B#4
431,7	690	431,7	442
432,5	727	432,5	416
433,4	699	433,4	426
434,2	708	434,2	421
435,0	719	435,0	436
435,8	677	435,8	445
436,6	692	436,6	405
437,4	663	437,4	382
438,2	680	438,2	411
439,0	706	439,0	392
439,9	654	439,9	416
440,7	704	440,7	410
441,5	692	441,5	383
442,3	697	442,3	399
443,1	710	443,1	404
443,9	666	443,9	370
444,7	717	444,7	380
445,6	678	445,6	407
446,4	660	446,4	407
447,2	664	447,2	327
448,0	668	448,0	376
448,8	682	448,8	399
449,6	653	449,6	419
450,4	666	450,4	438
451,2	648	451,2	380
452,1	670	452,1	337
452,9	639	452,9	396
453,7	621	453,7	363
454,5	626	454,5	415
455,3	654	455,3	352
456,1	646	456,1	401
456,9	640	456,9	398
457,8	611	457,8	373
458,6	623	458,6	393
459,4	626	459,4	394
460,2	589	460,2	386
461,0	561	461,0	378
461,8	571	461,8	367
462,6	561	462,6	380
463,4	573	463,4	384
464,3	524	464,3	359
465,1	552	465,1	392
465,9	494	465,9	402
466,7	514	466,7	392
467,5	518	467,5	405
468,3	515	468,3	368
469,1	484	469,1	387
470,0	493	470,0	392
470,8	457	470,8	376
471,6	440	471,6	392
472,4	450	472,4	400
473,2	415	473,2	396
474,0	423	474,0	400
474,8	420	474,8	397
475,6	423	475,6	403
476,5	394	476,5	369
477,3	395	477,3	380
478,1	359	478,1	383
478,9	380	478,9	389
479,7	386	479,7	364
480,5	350	480,5	393
481,3	321	481,3	383
482,1	347	482,1	362
483,0	284	483,0	388
483,8	295	483,8	378
484,6	313	484,6	353
485,4	327	485,4	388
486,2	324	486,2	342
487,0	309	487,0	346
487,8	277	487,8	348
488,7	281	488,7	373
489,5	261	489,5	337
490,3	273	490,3	364
491,1	279	491,1	342
491,9	255	491,9	378
492,7	262	492,7	364
493,5	259	493,5	354
494,3	248	494,3	356
495,2	248	495,2	376
496,0	231	496,0	335
496,8	246	496,8	365
497,6	239	497,6	357
498,4	213	498,4	334
499,2	236	499,2	352
500,0	221	500,0	361
500,9	223	500,9	363
501,7	183	501,7	363
502,5	206	502,5	375
503,3	226	503,3	332
504,1	224	504,1	331
504,9	209	504,9	358
505,7	209	505,7	346
506,5	196	506,5	336
507,4	184	507,4	353
508,2	186	508,2	369
509,0	191	509,0	364
509,8	149	509,8	355
510,6	200	510,6	339
511,4	164	511,4	343
512,2	187	512,2	323
513,1	171	513,1	324
513,9	154	513,9	303
514,7	168	514,7	327
515,5	142	515,5	318
516,3	154	516,3	320
517,1	156	517,1	323
517,9	153	517,9	344
518,7	128	518,7	311
519,6	145	519,6	335
520,4	142	520,4	300
521,2	145	521,2	308
522,0	168	522,0	318
522,8	158	522,8	321
523,6	138	523,6	346
524,4	152	524,4	324
525,3	141	525,3	324
526,1	158	526,1	296
526,9	131	526,9	297
527,7	138	527,7	338
528,5	128	528,5	329
529,3	126	529,3	302
530,1	137	530,1	314
530,9	125	530,9	322
531,8	111	531,8	320
532,6	131	532,6	317
533,4	108	533,4	318
534,2	130	534,2	304
535,0	137	535,0	319
535,8	125	535,8	322
536,6	122	536,6	321
537,4	106	537,4	316
538,3	117	538,3	307
539,1	110	539,1	317
539,9	108	539,9	330
540,7	104	540,7	330
541,5	111	541,5	315
542,3	114	542,3	305
543,1	114	543,1	306
544,0	100	544,0	310
544,8	111	544,8	290
545,6	116	545,6	294
546,4	104	546,4	293
547,2	112	547,2	299
548,0	94	548,0	292
548,8	98	548,8	319
549,6	89	549,6	298
550,5	84	550,5	303
551,3	97	551,3	295
552,1	102	552,1	316
